Groupe politique (complet);Groupe politique (abrégé);couleur
Droite Républicaine;DR;#8cb0dc
Ensemble pour la République;EPR;#7b4591
Gauche Démocrate et Républicaine;GDR;#790d1e
Horizons & Indépendants;HOR;#b5e2f9
La France insoumise - Nouveau Front Populaire;LFI-NFP;#c00d0d
Les Démocrates;Dem;#f07e26
Libertés, Indépendants, Outre-mer et Territoires;LIOT;#ffd96f
Non inscrit;NI;#8d949a
Rassemblement National;RN;#313567
Socialistes et apparentés;SOC;#eeafc8
Union des droites pour la République;UDR;#3367a7
Écologiste et Social;EcoS;#77aa79
